"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"11.01.2017 07:00 - 11.01.2017 08:00","N/A","700","n/e","0"
"11.01.2017 08:00 - 11.01.2017 09:00","N/A","900","n/e","0"
"11.01.2017 09:00 - 11.01.2017 10:00","N/A","900","n/e","0"
"11.01.2017 10:00 - 11.01.2017 11:00","N/A","900","n/e","0"
"11.01.2017 11:00 - 11.01.2017 12:00","N/A","900","n/e","0"
"11.01.2017 12:00 - 11.01.2017 13:00","N/A","608","n/e","0"
"11.01.2017 13:00 - 11.01.2017 14:00","N/A","452","n/e","0"
"11.01.2017 14:00 - 11.01.2017 15:00","N/A","457","n/e","0"
"11.01.2017 15:00 - 11.01.2017 16:00","N/A","300","n/e","0"
"11.01.2017 16:00 - 11.01.2017 17:00","N/A","900","n/e","0"
"11.01.2017 17:00 - 11.01.2017 18:00","N/A","900","n/e","0"
"11.01.2017 18:00 - 11.01.2017 19:00","N/A","800","n/e","0"
"11.01.2017 19:00 - 11.01.2017 20:00","N/A","800","n/e","0"
"11.01.2017 20:00 - 11.01.2017 21:00","N/A","464","n/e","0"
"11.01.2017 21:00 - 11.01.2017 22:00","N/A","592","n/e","0"
"11.01.2017 22:00 - 11.01.2017 23:00","N/A","700","n/e","0"
"11.01.2017 23:00 - 12.01.2017 00:00","N/A","225","n/e","0"
"12.01.2017 00:00 - 12.01.2017 01:00","N/A","0","n/e","0"
"12.01.2017 01:00 - 12.01.2017 02:00","N/A","0","n/e","0"
"12.01.2017 02:00 - 12.01.2017 03:00","N/A","0","n/e","0"
"12.01.2017 03:00 - 12.01.2017 04:00","N/A","0","n/e","0"
"12.01.2017 04:00 - 12.01.2017 05:00","N/A","0","n/e","0"
"12.01.2017 05:00 - 12.01.2017 06:00","N/A","0","n/e","0"
"12.01.2017 06:00 - 12.01.2017 07:00","N/A","50","n/e","0"
"12.01.2017 07:00 - 12.01.2017 08:00","N/A","700","n/e","0"
"12.01.2017 08:00 - 12.01.2017 09:00","N/A","700","n/e","0"
"12.01.2017 09:00 - 12.01.2017 10:00","N/A","310","n/e","0"
"12.01.2017 10:00 - 12.01.2017 11:00","N/A","180","n/e","0"
"12.01.2017 11:00 - 12.01.2017 12:00","N/A","180","n/e","0"
"12.01.2017 12:00 - 12.01.2017 13:00","N/A","500","n/e","0"
"12.01.2017 13:00 - 12.01.2017 14:00","N/A","400","n/e","0"
"12.01.2017 14:00 - 12.01.2017 15:00","N/A","400","n/e","0"
"12.01.2017 15:00 - 12.01.2017 16:00","N/A","420","n/e","0"
"12.01.2017 16:00 - 12.01.2017 17:00","N/A","700","n/e","0"
"12.01.2017 17:00 - 12.01.2017 18:00","N/A","700","n/e","0"
"12.01.2017 18:00 - 12.01.2017 19:00","N/A","700","n/e","0"
"12.01.2017 19:00 - 12.01.2017 20:00","N/A","750","n/e","0"
"12.01.2017 20:00 - 12.01.2017 21:00","N/A","769","n/e","0"
"12.01.2017 21:00 - 12.01.2017 22:00","N/A","725","n/e","0"
"12.01.2017 22:00 - 12.01.2017 23:00","N/A","760","n/e","0"
"12.01.2017 23:00 - 13.01.2017 00:00","N/A","780","n/e","0"
"13.01.2017 00:00 - 13.01.2017 01:00","N/A","1085","n/e","0"
"13.01.2017 01:00 - 13.01.2017 02:00","N/A","1115","n/e","0"
"13.01.2017 02:00 - 13.01.2017 03:00","N/A","1150","n/e","0"
"13.01.2017 03:00 - 13.01.2017 04:00","N/A","1090","n/e","0"
"13.01.2017 04:00 - 13.01.2017 05:00","N/A","704","n/e","0"
"13.01.2017 05:00 - 13.01.2017 06:00","N/A","622","n/e","0"
"13.01.2017 06:00 - 13.01.2017 07:00","N/A","873","n/e","0"
