"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"09.01.2018 16:00 - 09.01.2018 17:00","0","0","0","0"
"09.01.2018 17:00 - 09.01.2018 18:00","0","0","0","0"
"09.01.2018 18:00 - 09.01.2018 19:00","0","0","0","0"
"09.01.2018 19:00 - 09.01.2018 20:00","0","0","0","0"
"09.01.2018 20:00 - 09.01.2018 21:00","127","127","0","0"
"09.01.2018 21:00 - 09.01.2018 22:00","425","425","0","0"
"09.01.2018 22:00 - 09.01.2018 23:00","730","730","80","80"
"09.01.2018 23:00 - 10.01.2018 00:00","475","475","0","0"
"10.01.2018 00:00 - 10.01.2018 01:00","323","323","0","0"
"10.01.2018 01:00 - 10.01.2018 02:00","195","195","0","0"
"10.01.2018 02:00 - 10.01.2018 03:00","0","0","0","0"
"10.01.2018 03:00 - 10.01.2018 04:00","0","0","0","0"
"10.01.2018 04:00 - 10.01.2018 05:00","60","60","0","0"
"10.01.2018 05:00 - 10.01.2018 06:00","10","10","0","0"
"10.01.2018 06:00 - 10.01.2018 07:00","120","120","0","0"
"10.01.2018 07:00 - 10.01.2018 08:00","420","420","0","0"
"10.01.2018 08:00 - 10.01.2018 09:00","165","165","100","100"
"10.01.2018 09:00 - 10.01.2018 10:00","50","50","0","150"
"10.01.2018 10:00 - 10.01.2018 11:00","80","80","420","420"
"10.01.2018 11:00 - 10.01.2018 12:00","49","49","340","340"
"10.01.2018 12:00 - 10.01.2018 13:00","0","0","360","360"
"10.01.2018 13:00 - 10.01.2018 14:00","0","0","380","480"
"10.01.2018 14:00 - 10.01.2018 15:00","0","0","460","460"
"10.01.2018 15:00 - 10.01.2018 16:00","0","0","500","500"
"10.01.2018 16:00 - 10.01.2018 17:00","0","0","390","490"
"10.01.2018 17:00 - 10.01.2018 18:00","0","0","390","490"
"10.01.2018 18:00 - 10.01.2018 19:00","0","0","440","540"
"10.01.2018 19:00 - 10.01.2018 20:00","0","0","440","490"
"10.01.2018 20:00 - 10.01.2018 21:00","280","280","250","350"
"10.01.2018 21:00 - 10.01.2018 22:00","240","240","150","150"
"10.01.2018 22:00 - 10.01.2018 23:00","502","502","30","30"
"10.01.2018 23:00 - 11.01.2018 00:00","634","634","0","0"
"11.01.2018 00:00 - 11.01.2018 01:00","300","300","0","0"
"11.01.2018 01:00 - 11.01.2018 02:00","214","214","20","20"
"11.01.2018 02:00 - 11.01.2018 03:00","250","250","20","20"
"11.01.2018 03:00 - 11.01.2018 04:00","130","130","20","20"
"11.01.2018 04:00 - 11.01.2018 05:00","219","219","20","20"
"11.01.2018 05:00 - 11.01.2018 06:00","250","250","20","20"
"11.01.2018 06:00 - 11.01.2018 07:00","100","100","0","0"
"11.01.2018 07:00 - 11.01.2018 08:00","0","200","40","240"
"11.01.2018 08:00 - 11.01.2018 09:00","0","200","40","340"
"11.01.2018 09:00 - 11.01.2018 10:00","0","200","148","448"
"11.01.2018 10:00 - 11.01.2018 11:00","0","100","365","565"
"11.01.2018 11:00 - 11.01.2018 12:00","0","50","340","540"
"11.01.2018 12:00 - 11.01.2018 13:00","0","0","340","540"
"11.01.2018 13:00 - 11.01.2018 14:00","0","0","340","540"
"11.01.2018 14:00 - 11.01.2018 15:00","0","67","355","555"
"11.01.2018 15:00 - 11.01.2018 16:00","0","100","335","535"
"11.01.2018 16:00 - 11.01.2018 17:00","0","0","275","375"
"11.01.2018 17:00 - 11.01.2018 18:00","0","0","380","530"
"11.01.2018 18:00 - 11.01.2018 19:00","0","0","355","455"
"11.01.2018 19:00 - 11.01.2018 20:00","0","0","325","325"
"11.01.2018 20:00 - 11.01.2018 21:00","0","140","135","335"
"11.01.2018 21:00 - 11.01.2018 22:00","30","30","80","180"
"11.01.2018 22:00 - 11.01.2018 23:00","260","510","0","87"
"11.01.2018 23:00 - 12.01.2018 00:00","278","502","0","0"
"12.01.2018 00:00 - 12.01.2018 01:00","629","629","0","0"
"12.01.2018 01:00 - 12.01.2018 02:00","695","695","0","0"
"12.01.2018 02:00 - 12.01.2018 03:00","540","540","0","0"
"12.01.2018 03:00 - 12.01.2018 04:00","327","327","0","0"
"12.01.2018 04:00 - 12.01.2018 05:00","495","495","29","29"
"12.01.2018 05:00 - 12.01.2018 06:00","545","545","0","0"
"12.01.2018 06:00 - 12.01.2018 07:00","136","136","75","75"
"12.01.2018 07:00 - 12.01.2018 08:00","0","0","0","100"
"12.01.2018 08:00 - 12.01.2018 09:00","0","0","101","201"
"12.01.2018 09:00 - 12.01.2018 10:00","0","50","251","451"
"12.01.2018 10:00 - 12.01.2018 11:00","0","120","381","481"
"12.01.2018 11:00 - 12.01.2018 12:00","0","100","405","605"
"12.01.2018 12:00 - 12.01.2018 13:00","0","0","425","625"
"12.01.2018 13:00 - 12.01.2018 14:00","0","0","425","525"
"12.01.2018 14:00 - 12.01.2018 15:00","0","100","341","441"
"12.01.2018 15:00 - 12.01.2018 16:00","0","150","338","438"
"12.01.2018 16:00 - 12.01.2018 17:00","0","0","331","431"
"12.01.2018 17:00 - 12.01.2018 18:00","0","0","356","456"
"12.01.2018 18:00 - 12.01.2018 19:00","0","0","181","181"
"12.01.2018 19:00 - 12.01.2018 20:00","0","150","225","425"
"12.01.2018 20:00 - 12.01.2018 21:00","0","50","330","480"
"12.01.2018 21:00 - 12.01.2018 22:00","0","100","264","314"
"12.01.2018 22:00 - 12.01.2018 23:00","307","387","0","100"
"12.01.2018 23:00 - 13.01.2018 00:00","130","180","74","74"
