Time (CET/CEST),BZN|GB > BZN|FR Day Ahead [MW],BZN|GB > BZN|FR Total [MW],BZN|FR > BZN|GB Day Ahead [MW],BZN|FR > BZN|GB Total [MW]
10.01.2022 16:00 - 10.01.2022 17:00,2037,2057,45,1699
10.01.2022 17:00 - 10.01.2022 18:00,2169,2179,411,1616
10.01.2022 18:00 - 10.01.2022 19:00,2183,2262,260,1118
10.01.2022 19:00 - 10.01.2022 20:00,2223,2251,260,1068
10.01.2022 20:00 - 10.01.2022 21:00,2223,2543,560,1433
10.01.2022 21:00 - 10.01.2022 22:00,1907,2027,50,50
10.01.2022 22:00 - 10.01.2022 23:00,1845,2059,45,45
10.01.2022 23:00 - 11.01.2022 00:00,1971,2059,45,45
11.01.2022 00:00 - 11.01.2022 01:00,1862,1989,351,553
11.01.2022 01:00 - 11.01.2022 02:00,1537,1637,625,1037
11.01.2022 02:00 - 11.01.2022 03:00,1351,1401,614,1260
11.01.2022 03:00 - 11.01.2022 04:00,1144,1344,465,1482
11.01.2022 04:00 - 11.01.2022 05:00,1269,1369,438,1084
11.01.2022 05:00 - 11.01.2022 06:00,1575,1791,126,503
11.01.2022 06:00 - 11.01.2022 07:00,2088,2088,75,421
11.01.2022 07:00 - 11.01.2022 08:00,2088,2089,75,75
11.01.2022 08:00 - 11.01.2022 09:00,2087,2089,75,75
11.01.2022 09:00 - 11.01.2022 10:00,1881,2182,175,175
11.01.2022 10:00 - 11.01.2022 11:00,1336,1989,495,606
11.01.2022 11:00 - 11.01.2022 12:00,1109,2140,845,896
11.01.2022 12:00 - 11.01.2022 13:00,854,1893,789,1099
11.01.2022 13:00 - 11.01.2022 14:00,530,1399,970,1245
11.01.2022 14:00 - 11.01.2022 15:00,801,2067,981,1181
11.01.2022 15:00 - 11.01.2022 16:00,1426,2632,1146,1478
11.01.2022 16:00 - 11.01.2022 17:00,1195,1584,698,763
11.01.2022 17:00 - 11.01.2022 18:00,215,1032,877,1137
11.01.2022 18:00 - 11.01.2022 19:00,369,1493,1395,1630
11.01.2022 19:00 - 11.01.2022 20:00,643,1935,1271,1405
11.01.2022 20:00 - 11.01.2022 21:00,145,749,1057,1058
11.01.2022 21:00 - 11.01.2022 22:00,354,1740,813,1239
11.01.2022 22:00 - 11.01.2022 23:00,740,2245,1201,1528
11.01.2022 23:00 - 12.01.2022 00:00,1269,2570,1060,1336
12.01.2022 00:00 - 12.01.2022 01:00,1783,1987,493,493
12.01.2022 01:00 - 12.01.2022 02:00,1671,2076,526,526
12.01.2022 02:00 - 12.01.2022 03:00,1907,2272,685,685
12.01.2022 03:00 - 12.01.2022 04:00,1760,2082,393,393
12.01.2022 04:00 - 12.01.2022 05:00,1805,2170,535,535
12.01.2022 05:00 - 12.01.2022 06:00,2059,2059,45,45
12.01.2022 06:00 - 12.01.2022 07:00,2059,2059,45,45
12.01.2022 07:00 - 12.01.2022 08:00,2059,2059,45,45
12.01.2022 08:00 - 12.01.2022 09:00,2059,2059,45,45
12.01.2022 09:00 - 12.01.2022 10:00,1787,2024,45,45
12.01.2022 10:00 - 12.01.2022 11:00,1923,1923,265,588
12.01.2022 11:00 - 12.01.2022 12:00,2507,2528,575,641
12.01.2022 12:00 - 12.01.2022 13:00,2747,2782,795,951
12.01.2022 13:00 - 12.01.2022 14:00,2638,2689,800,956
12.01.2022 14:00 - 12.01.2022 15:00,2644,2689,800,956
12.01.2022 15:00 - 12.01.2022 16:00,1977,1997,80,1286
12.01.2022 16:00 - 12.01.2022 17:00,2005,2112,150,1375
12.01.2022 17:00 - 12.01.2022 18:00,1592,2254,310,2128
12.01.2022 18:00 - 12.01.2022 19:00,1997,2477,1459,3475
12.01.2022 19:00 - 12.01.2022 20:00,1970,2434,953,2665
12.01.2022 20:00 - 12.01.2022 21:00,1690,2010,383,585
12.01.2022 21:00 - 12.01.2022 22:00,1344,2022,345,420
12.01.2022 22:00 - 12.01.2022 23:00,1192,1956,368,733
12.01.2022 23:00 - 13.01.2022 00:00,2024,2263,299,299
13.01.2022 00:00 - 13.01.2022 01:00,1605,2099,465,565
13.01.2022 01:00 - 13.01.2022 02:00,1429,2085,730,880
13.01.2022 02:00 - 13.01.2022 03:00,1404,1897,575,723
13.01.2022 03:00 - 13.01.2022 04:00,1428,2166,786,886
13.01.2022 04:00 - 13.01.2022 05:00,1232,1958,423,556
13.01.2022 05:00 - 13.01.2022 06:00,1736,2167,165,165
13.01.2022 06:00 - 13.01.2022 07:00,2059,2074,75,369
13.01.2022 07:00 - 13.01.2022 08:00,2089,2089,75,364
13.01.2022 08:00 - 13.01.2022 09:00,1817,1989,75,507
13.01.2022 09:00 - 13.01.2022 10:00,1677,2338,424,424
13.01.2022 10:00 - 13.01.2022 11:00,922,2147,483,533
13.01.2022 11:00 - 13.01.2022 12:00,1012,1972,474,474
13.01.2022 12:00 - 13.01.2022 13:00,1183,2185,421,421
13.01.2022 13:00 - 13.01.2022 14:00,1064,2136,395,395
13.01.2022 14:00 - 13.01.2022 15:00,713,2310,396,436
13.01.2022 15:00 - 13.01.2022 16:00,830,1938,589,647
13.01.2022 16:00 - 13.01.2022 17:00,659,2079,829,1114
13.01.2022 17:00 - 13.01.2022 18:00,297,1733,1140,1490
13.01.2022 18:00 - 13.01.2022 19:00,297,973,1018,1518
13.01.2022 19:00 - 13.01.2022 20:00,879,1535,1106,1741
13.01.2022 20:00 - 13.01.2022 21:00,674,1324,1022,1826
13.01.2022 21:00 - 13.01.2022 22:00,1748,1873,820,825
13.01.2022 22:00 - 13.01.2022 23:00,1542,2118,133,320
13.01.2022 23:00 - 14.01.2022 00:00,2273,2420,407,407
