,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
5936,37619.505098380236,57590.72232789514,58258.568648863744,44475.410539939425,62216.65011119486,58867.0455743636,59326.0455743636,60326.24176784344,60372.14176784345,53082.23137749396,36553.005098380236,57730.3455743636,40600.97232789514,39163.7955743636,44278.19499393776,59189.541767843446,39420.187254078344,59567.695574363606,31492.829107105317,38825.54499393776
5937,35883.98836296803,50873.754762670986,55546.61599040708,44971.00217137176,57851.19218546574,51529.54452374388,52712.14452374389,55190.54016973648,55603.640169736485,45158.72253381389,35018.63836296803,50517.04452374388,34549.55476267099,33076.39452374389,44779.180921083214,54178.04016973648,39459.09966950027,52582.54452374388,32135.336317283356,38609.680921083214
5938,31237.92441873419,42002.53266980994,47248.928449355735,43326.59879380888,50866.28219540749,41347.06550296287,42883.36550296287,47085.244041717146,46834.144041717154,32548.493974117308,30269.974418734186,39855.31550296287,26407.332669809944,24372.16550296287,41811.93158739967,45593.494041717146,36866.62616100702,41768.26550296288,28831.563090744203,35743.68158739967
5939,26179.822481804647,32683.44381856863,39362.36708652394,38066.730933602565,43472.545979586306,29852.167913831443,31603.11791383144,38373.23527324669,37833.23527324669,20269.990220260057,25211.872481804643,28153.86791383144,17224.593818568625,14501.317913831437,39504.907692049295,36674.93527324669,30214.197236568343,30099.21791383143,24145.042499174247,34624.657692049295
5940,22509.143667345845,25307.238842171602,34314.73788505644,34619.27477777695,41766.77174929666,23551.174281906213,24527.224281906216,32862.70060525686,31507.300605256867,12132.815187765598,21333.293667345846,21609.874281906224,11349.5888421716,8976.574281906214,35581.926939617646,30921.400605256873,27535.72596273404,23255.52428190622,20768.290179200245,31442.82693961764
5941,23207.915105885775,20645.735709177592,31104.96516998321,32968.78837760083,41136.615531771866,20416.778314272306,21326.678314272314,29180.132634253598,28467.33263425361,8243.360743776575,21991.565105885777,18378.278314272306,9116.735709177585,8781.128314272311,35504.09687092758,27141.632634253598,26918.398378313424,19995.57831427231,18101.751259843375,31695.746870927574
5942,19548.381734816183,17208.82749027184,28803.102778594213,31375.799355154595,38384.20079010915,18962.92104792635,19440.821047926358,28583.328434293275,27222.528434293286,3973.0902881945367,17945.931734816186,16655.771047926355,4346.027490271837,5114.621047926354,29347.980987183502,26276.17843429328,21453.00041207204,18337.87104792636,12428.27704230629,25473.480987183502
5943,20664.499943697454,17841.282547806957,28945.188515338545,28701.369783735783,38526.43077598826,20269.18806807052,20432.538068070528,29865.65771318417,27746.15771318417,2212.327850315036,18917.599943697453,17855.388068070533,4385.832547806953,5398.938068070529,26828.08506588311,27451.85771318418,21000.234676661144,19009.638068070533,8307.771265452619,22691.685065883117
5944,23235.55793680343,20243.796807400257,30169.23296942342,29719.670470710586,41167.5935589509,22620.19963261541,21953.299632615403,34161.11694047958,31535.36694047958,2919.577241862011,21322.607936803433,19663.69963261541,6969.246807400261,7447.5496326154025,23640.728606303666,31204.61694047958,22536.356358474026,21258.049632615403,6536.1531383894835,19907.978606303666
5945,28949.64638348055,26195.341389798945,34515.66283767222,33217.954494940685,46789.77802345481,29703.080787931955,28783.730787931963,40693.07901190065,37498.97901190065,5427.267813187165,26684.346383480548,26689.880787931957,13336.591389798938,15209.480787931956,24419.20142059416,37679.87901190065,26732.7847154868,27872.48078793195,9538.006452597212,21333.10142059416
5946,38152.85970127226,36445.34760819473,41760.81414754492,40055.35584232221,52821.607760036146,38802.69643441093,37852.29643441092,46152.299480682705,43375.34948068269,14602.819067110824,36027.95970127226,35954.196434410915,24334.497608194728,25742.796434410917,31695.97870999169,43303.79948068269,34310.273686432556,37609.29643441092,20690.740736367614,29425.278709991686
5947,48898.204539443046,50710.756569230434,53791.709202625905,47637.947928827896,60536.397062293865,53234.881633850455,51304.381633850455,56533.775002380215,52815.87500238022,28284.47108891842,46368.304539443045,50811.631633850455,39445.006569230434,41851.68163385046,41188.04848088585,54110.525002380215,45431.27071913641,52357.381633850455,34782.81811620061,40866.74848088585
5948,55028.17428999196,58393.15673586986,59631.28098387246,51913.54915779166,62463.70680143401,60580.551743627046,58288.25174362704,59758.05947588124,55909.20947588124,38786.36085328068,52858.724289991966,58118.151743627044,48886.45673586986,51937.85174362704,47418.66580432639,57295.659475881235,53247.058989455145,60207.95174362704,44458.49627047085,48977.91580432639
5949,56647.3410157906,59909.806725816976,61274.03662139926,55005.45631067961,63444.57157330357,59880.57600844483,58760.07600844483,57904.242868718524,55244.74286871853,43394.768559693184,55825.191015790595,57206.22600844483,50720.35672581698,53951.37600844483,50796.06948624101,55229.892868718525,57159.396809327685,59667.27600844484,49828.424472206636,52394.46948624101
5950,53918.82397528822,55659.409416052775,57164.32698409687,52599.95388349515,59630.61372099941,54438.54204991115,53650.142049911155,53618.44121153616,51808.091211536164,41559.62528363908,53115.57397528822,52219.142049911155,47737.60941605277,49862.04204991115,47101.101709798815,51399.04121153616,54321.48472493792,53951.19204991116,47877.465541242025,48366.05170979881
5951,57770.07075895087,59105.57839490451,59664.94496076762,56232.68106796117,62248.11914606788,57041.873552978024,57106.67355297803,57041.8023518541,55239.552351854116,44159.55993469471,56746.77075895087,54741.47355297803,50934.02839490451,53161.97355297803,51724.886180545895,54741.40235185411,57449.00931289314,56846.123552978024,51591.21785463043,52410.68618054589
5952,55819.20145508602,55495.40420708412,56672.18692919317,55775.81019417476,58533.75419500237,55838.08004184971,54704.08004184971,55542.45378591809,53455.353785918094,41223.63874234447,55560.00145508602,53367.58004184971,49174.70420708411,51630.1300418497,50909.59431306034,53071.95378591809,55311.3125868984,55619.3800418497,50478.741802321936,50241.34431306034
