,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
4932,-52821.68155263431,-40166.78155263432,-91883.13493152024,-59301.68155263431,-65584.63814121867,-52846.51501253153,-48040.51501253153,-98923.92564563433,-34112.80383437031,-21392.602320532576,-71971.77188271457,-87094.47188271457,-58353.27687843329,-54293.23814121868,-83145.12564563433,-88762.05288339319,-96261.4378621264,-24282.952320532582,-35411.782033356605,-36383.41336975446
4933,-68184.43928137561,-56903.83928137561,-100558.71451054004,-74375.53928137562,-73205.23445172262,-60031.342809522204,-54426.14280952219,-109988.81160534557,-43447.50918102234,-33217.48108428155,-84600.90369615947,-97609.50369615947,-63346.82757201614,-63428.534451722604,-96046.01160534556,-99257.32527310561,-105856.47945422554,-36295.48108428155,-44283.1100673124,-44409.00647274373
4934,-78086.09324938382,-64984.34324938382,-111815.89028720415,-85254.59324938382,-74958.19435853258,-58992.13031722653,-52913.08031722653,-115243.71096561107,-39889.21944355343,-34620.72105520849,-88965.72181808364,-104189.67181808363,-68536.95515558927,-63928.69435853258,-99373.11096561106,-101812.08892552524,-110440.47084598026,-37147.921055208484,-56691.06871886639,-47510.225869297064
4935,-80022.6756198589,-66231.07561985891,-110549.48662127758,-87631.2756198589,-66000.72602172664,-61688.64314991223,-54975.09314991222,-112158.42352123215,-37054.4037498836,-32665.64122873603,-84491.98575675813,-100288.33575675814,-70084.55773321127,-55144.02602172663,-95620.92352123215,-96971.48995121982,-108570.04815041716,-35416.94122873603,-56722.303916432225,-51380.444826474966
4936,-79209.37994908408,-65321.929949084064,-105421.78356992116,-86757.22994908408,-48870.196091528625,-52039.82317011972,-45017.123170119725,-100931.42307836647,-30257.762906292308,-26805.13184640609,-74920.21870985866,-90532.96870985866,-65505.28915468172,-38130.94609152863,-85137.77307836646,-83580.1133007926,-99205.78793060759,-29447.081846406087,-52876.103525871,-45109.8834267987
4937,-69754.89496188091,-55748.64496188091,-88431.90939675909,-76712.79496188092,-28704.741373146186,-47905.12616902104,-40713.67616902104,-76380.28930708845,-16855.2446858036,-13101.506572944578,-56688.140315537734,-71750.09031553773,-53371.468607456576,-18379.941373146183,-61665.289307088446,-63846.82024997362,-84589.38536871783,-15505.856572944584,-42461.21151484824,-34467.71631371879
4938,-49658.148805525845,-37081.54880552585,-59562.515067969216,-56178.648805525845,-6098.20603416612,-37452.6978722974,-31028.047872297408,-48006.845394517884,-6841.637902431699,4275.532583480737,-28272.343953949356,-41974.84395394936,-32377.396059382743,3170.8939658338786,-35220.995394517886,-36026.0202867919,-59749.055064291904,2115.5325834807372,-24244.61806155792,-27715.936939522202
4939,-20820.8584242782,-8592.558424278206,-24247.551329104674,-26057.508424278203,14214.17147090569,-19580.490046664912,-14427.540046664915,-9074.661175088593,19936.68044005709,26390.296196968207,7203.432035089245,-5826.767964910767,-6057.032488161014,22372.221470905686,2122.238824911401,200.7701525099983,-23601.976635529703,25946.1461969682,-1447.8268922093266,-11468.266449080533
4940,2927.024901009201,14202.224901009205,10041.055280960725,108.22490100919822,33848.49606405861,-3367.280372921683,1473.8196270783228,25924.264804160986,38730.70089820072,44636.59447118122,37624.65662220273,27411.906622202732,23214.346023911996,40728.0960640586,33611.16480416099,32769.94745861755,13249.24715073494,44466.49447118123,21580.872265316546,10836.74826536014
4941,16093.273597676744,25666.123597676742,21548.837273130644,14918.773597676744,42266.38674899172,4841.78481003725,9110.484810037247,43685.93070150937,45858.72235163041,50741.33983542969,51193.88381312634,43570.433813126336,39229.52036705908,48011.98674899172,48686.330701509374,48030.33509571782,32697.154583157946,50447.03983542969,30819.970299111163,17060.997752615687
4942,21511.298655923594,30233.648655923593,24107.538584117992,21268.298655923594,46037.07208730403,8260.99502363061,12713.29502363062,46413.60282193108,48043.04597256005,53111.59223300972,50904.82475149659,44288.47475149659,42526.427176402496,50582.52208730403,49569.90282193108,49417.004787370315,41156.22840575359,52899.64223300971,33971.98631456173,12286.921944436275
4943,29175.24625742071,37051.14625742071,26070.63004812957,29438.49625742071,49256.677935373664,16270.488351853346,20031.588351853352,49808.709525081256,52920.096368314065,55543.034466019424,50648.998357803335,43908.44835780334,48197.487850254845,52585.777935373655,52526.259525081245,52466.700139739616,49314.42995447127,55753.63446601943,37427.6614161554,13781.188470848909
4944,27758.65666083329,34902.85666083329,26359.216450102642,28291.90666083329,46371.345237435315,11163.177671299469,13689.027671299475,45537.13629980385,52200.03438161199,50609.90970873787,47324.35766976051,40077.55766976051,44566.4056762855,49121.29523743531,48358.63629980385,51003.83680556068,48445.86969216027,51129.65970873787,36052.26769450059,9911.755856752883
4945,24939.103218509987,31303.003218509988,22182.832571158953,24936.40321850999,40095.72562023454,-440.3581437063258,1985.5918562936786,37690.136093733105,46600.02698701294,42054.33786407767,37854.35511203907,32222.155112039065,37833.82894023949,42415.02562023454,40168.736093733096,44321.39455569224,42232.947417282194,42594.33786407767,27866.254601598175,-608.1755312165187
4946,25263.292102187002,31412.542102187002,21334.331541966993,25167.442102187004,37582.61407049232,-3144.8023221155963,-640.5523221155963,36047.18969669312,45517.65381717503,39065.562621359226,34931.9015479463,29546.751547946296,36136.12548730639,39955.914070492305,38266.58969669312,43543.72824714589,41601.516351097904,39924.162621359224,24421.32544817349,-3404.2349475960655
4947,24461.33282616923,31002.08282616923,19836.993829593448,24682.73282616923,34748.54825885816,-8825.06071919333,-6084.56071919333,33596.611789393624,42498.80351053869,32292.074271844664,29687.700844195635,24394.350844195636,31843.14842167999,37229.84825885816,35343.511789393626,41960.07564606379,40349.73197340009,33123.67427184466,22930.478876848072,-12095.35457557514
4948,23362.933764889014,30273.583764889016,16368.823212302956,24360.583764889016,32408.617344897277,-10853.216902008942,-8215.316902008948,33120.82960702406,41142.7081267581,28211.815533980585,26639.171269799543,21455.171269799543,30326.176150010513,35119.41734489727,33743.17960702406,40715.3255317376,37284.2255984749,29179.76553398059,24487.547235752005,-17821.23053594558
4949,21956.11489846107,30189.76489846107,18161.83770818166,25120.51489846107,31197.175153074342,-12380.966239795278,-9787.61623979528,35785.386676536,40952.200219873805,27649.200000000004,25930.71476607094,21180.06476607094,33848.627839475324,34330.52515307434,34586.586676536,42297.40904344225,35850.68982151679,29655.300000000003,27710.47394604947,-21885.903603513114
4950,22680.38502733196,33933.98502733196,21771.377880236803,29385.835027331963,31960.66353101551,-10328.314104739533,-7680.964104739534,39677.2525898518,44035.51976537374,29160.93058252428,27441.553989820757,22931.20398982076,38039.125662158694,35989.06353101551,35670.4525898518,45961.199625158566,31516.14335618788,33332.43058252428,32521.721841326435,-18510.14321405145
4951,21822.857648948106,37377.55764894811,29993.824794334254,33339.70764894811,29510.441412204287,-4726.229071060479,-2540.579071060478,41231.47367329436,45233.39928640974,25892.561736262403,26563.118849212515,21928.568849212512,42075.92293936215,34967.14141220429,33436.573673294355,47528.06992514199,24866.986984532155,33061.06173626241,36774.15353477895,-19014.12498010975
4952,15182.272910261083,34066.072910261086,27018.904290316335,30253.672910261084,19594.832550331437,-8675.080513070912,-6803.980513070906,31730.124253555787,41205.57574856235,21239.93437948337,16430.920170906364,11700.520170906362,36345.77950975406,25391.73255033144,21540.324253555784,35952.65303474033,12396.208330832833,31050.384379483374,34949.117051339716,-25951.013815412436
4953,654.2563860166701,20792.20638601668,11287.248652721231,17240.356386016676,-7694.6567358698885,-25479.894521302413,-23323.944521302416,9663.383882561699,31838.266441097396,8979.926538481981,-3986.8220041135064,-8479.62200411351,16206.207217097697,-1866.7067358698841,-1170.3661174383014,4239.579737588283,-7984.733253504135,19654.376538481978,22832.840267808235,-43288.18210377585
4954,-15806.90750434449,4422.84249565551,-6342.5668375526875,636.09249565551,-39890.77510438918,-47717.55495574232,-44743.50495574232,-22555.650586095973,14349.738828480586,-8227.908751148112,-29878.923743843232,-33819.57374384324,-12924.243584245225,-34544.77510438917,-32965.50058609597,-32539.204482642745,-33929.54147885104,2017.2412488518894,3097.6776645169593,-61183.79770938704
4955,-29458.970625841495,-8914.670625841492,-20319.416439431516,-13445.270625841484,-67002.80138612611,-70106.5578357762,-66699.15783577619,-50058.825966129385,42.325864408921916,-24253.22936532637,-57711.060329176384,-61107.660329176375,-37540.29455791986,-62015.90138612611,-60637.42596612939,-63213.850678756,-53565.695057117555,-14206.529365326365,-16154.40622358692,-76224.76495925819
