"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"09.01.2017 20:00 - 09.01.2017 21:00","n/e","642","n/e","2710"
"09.01.2017 21:00 - 09.01.2017 22:00","n/e","0","n/e","3100"
"09.01.2017 22:00 - 09.01.2017 23:00","n/e","0","n/e","3100"
"09.01.2017 23:00 - 10.01.2017 00:00","n/e","281","n/e","2191"
"10.01.2017 00:00 - 10.01.2017 01:00","n/e","112","n/e","2262"
"10.01.2017 01:00 - 10.01.2017 02:00","n/e","0","n/e","491"
"10.01.2017 02:00 - 10.01.2017 03:00","n/e","556","n/e","434"
"10.01.2017 03:00 - 10.01.2017 04:00","n/e","350","n/e","452"
"10.01.2017 04:00 - 10.01.2017 05:00","n/e","220","n/e","91"
"10.01.2017 05:00 - 10.01.2017 06:00","n/e","1700","n/e","75"
"10.01.2017 06:00 - 10.01.2017 07:00","n/e","2350","n/e","219"
"10.01.2017 07:00 - 10.01.2017 08:00","n/e","2350","n/e","0"
"10.01.2017 08:00 - 10.01.2017 09:00","n/e","2350","n/e","0"
"10.01.2017 09:00 - 10.01.2017 10:00","n/e","2350","n/e","0"
"10.01.2017 10:00 - 10.01.2017 11:00","n/e","2350","n/e","0"
"10.01.2017 11:00 - 10.01.2017 12:00","n/e","2350","n/e","0"
"10.01.2017 12:00 - 10.01.2017 13:00","n/e","2350","n/e","0"
"10.01.2017 13:00 - 10.01.2017 14:00","n/e","2350","n/e","0"
"10.01.2017 14:00 - 10.01.2017 15:00","n/e","2350","n/e","0"
"10.01.2017 15:00 - 10.01.2017 16:00","n/e","2350","n/e","0"
"10.01.2017 16:00 - 10.01.2017 17:00","n/e","2350","n/e","0"
"10.01.2017 17:00 - 10.01.2017 18:00","n/e","2350","n/e","0"
"10.01.2017 18:00 - 10.01.2017 19:00","n/e","2350","n/e","0"
"10.01.2017 19:00 - 10.01.2017 20:00","n/e","2350","n/e","0"
"10.01.2017 20:00 - 10.01.2017 21:00","n/e","2350","n/e","37"
"10.01.2017 21:00 - 10.01.2017 22:00","n/e","1090","n/e","250"
"10.01.2017 22:00 - 10.01.2017 23:00","n/e","1589","n/e","376"
"10.01.2017 23:00 - 11.01.2017 00:00","n/e","2350","n/e","0"
"11.01.2017 00:00 - 11.01.2017 01:00","n/e","2350","n/e","406"
"11.01.2017 01:00 - 11.01.2017 02:00","n/e","2650","n/e","600"
"11.01.2017 02:00 - 11.01.2017 03:00","n/e","2650","n/e","400"
"11.01.2017 03:00 - 11.01.2017 04:00","n/e","2650","n/e","700"
"11.01.2017 04:00 - 11.01.2017 05:00","n/e","2101","n/e","1075"
"11.01.2017 05:00 - 11.01.2017 06:00","n/e","2650","n/e","329"
"11.01.2017 06:00 - 11.01.2017 07:00","n/e","2350","n/e","0"
"11.01.2017 07:00 - 11.01.2017 08:00","n/e","2350","n/e","0"
"11.01.2017 08:00 - 11.01.2017 09:00","n/e","2350","n/e","0"
"11.01.2017 09:00 - 11.01.2017 10:00","n/e","2350","n/e","0"
"11.01.2017 10:00 - 11.01.2017 11:00","n/e","2350","n/e","353"
"11.01.2017 11:00 - 11.01.2017 12:00","n/e","2350","n/e","930"
"11.01.2017 12:00 - 11.01.2017 13:00","n/e","1242","n/e","556"
"11.01.2017 13:00 - 11.01.2017 14:00","n/e","0","n/e","394"
"11.01.2017 14:00 - 11.01.2017 15:00","n/e","489","n/e","127"
"11.01.2017 15:00 - 11.01.2017 16:00","n/e","147","n/e","823"
"11.01.2017 16:00 - 11.01.2017 17:00","n/e","514","n/e","603"
"11.01.2017 17:00 - 11.01.2017 18:00","n/e","2180","n/e","246"
"11.01.2017 18:00 - 11.01.2017 19:00","n/e","2350","n/e","0"
"11.01.2017 19:00 - 11.01.2017 20:00","n/e","1503","n/e","565"
"11.01.2017 20:00 - 11.01.2017 21:00","n/e","1291","n/e","2639"
"11.01.2017 21:00 - 11.01.2017 22:00","n/e","13","n/e","3100"
"11.01.2017 22:00 - 11.01.2017 23:00","n/e","456","n/e","3100"
"11.01.2017 23:00 - 12.01.2017 00:00","n/e","403","n/e","2487"
"12.01.2017 00:00 - 12.01.2017 01:00","n/e","13","n/e","2850"
"12.01.2017 01:00 - 12.01.2017 02:00","n/e","230","n/e","2850"
"12.01.2017 02:00 - 12.01.2017 03:00","n/e","353","n/e","2511"
"12.01.2017 03:00 - 12.01.2017 04:00","n/e","124","n/e","2850"
"12.01.2017 04:00 - 12.01.2017 05:00","n/e","111","n/e","2850"
"12.01.2017 05:00 - 12.01.2017 06:00","n/e","326","n/e","2331"
"12.01.2017 06:00 - 12.01.2017 07:00","n/e","336","n/e","265"
"12.01.2017 07:00 - 12.01.2017 08:00","n/e","1703","n/e","0"
"12.01.2017 08:00 - 12.01.2017 09:00","n/e","1867","n/e","10"
"12.01.2017 09:00 - 12.01.2017 10:00","n/e","2007","n/e","11"
"12.01.2017 10:00 - 12.01.2017 11:00","n/e","1606","n/e","100"
"12.01.2017 11:00 - 12.01.2017 12:00","n/e","2248","n/e","0"
"12.01.2017 12:00 - 12.01.2017 13:00","n/e","1804","n/e","0"
"12.01.2017 13:00 - 12.01.2017 14:00","n/e","1425","n/e","25"
