2019-2022;2020;2021;Mean;Mean;Mean;DE
0,7;0,4;0;0,366666667;0,766666667;0,8;0,644444445
0,5;0,9;0;0,466666667;0,266666667;0,633333333;0,455555556
0;0,6;0;0,2;0,066666667;0,766666667;0,344444445
0,1;0;0,1;0,066666667;0,266666667;0,366666667;0,233333334
0;0;0,6;0,2;0,366666667;0,533333333;0,366666667
0;0,4;0;0,133333333;0,666666667;0,633333333;0,477777778
0;1,1;0,1;0,4;0,5;0,3;0,4
0;0,3;0,1;0,133333333;0,5;0,333333333;0,322222222
0;0,9;0;0,3;0;0,166666667;0,155555556
0;0,2;0;0,066666667;0,033333333;0,033333333;0,044444444
0;0;0;0;0;0,3;0,1
0;0,3;0;0,1;0,133333333;0,233333333;0,155555555
0;0;0;0;0,033333333;0,2;0,077777778
0;0,2;0,5;0,233333333;0,366666667;0,3;0,3
0;1;0;0,333333333;0,333333333;0,2;0,288888889
0,2;0,7;0,4;0,433333333;0,233333333;0,466666667;0,377777778
0,6;0,4;0,4;0,466666667;0,2;0,466666667;0,377777778
0,1;0;1,1;0,4;0,433333333;0,466666667;0,433333333
0,1;0;0,2;0,1;0,866666667;0,5;0,488888889
0,5;0,9;0,3;0,566666667;0,233333333;1,166666667;0,655555556
0;1,2;0,2;0,466666667;0,2;0,866666667;0,511111111
0;0,2;0,1;0,1;0,066666667;0,9;0,355555556
0,1;0;0;0,033333333;0,1;0,266666667;0,133333333
0,3;0;0,6;0,3;0,1;0,8;0,4
0;0;0,6;0,2;0,066666667;0,566666667;0,277777778
0;0;0,6;0,2;0,233333333;0,266666667;0,233333333
0;0;0,8;0,266666667;0,3;0,233333333;0,266666667
0,1;0;0;0,033333333;0,333333333;0,133333333;0,166666666
1,2;0;0;0,4;0,8;0,533333333;0,577777778
1,6;0;0,1;0,566666667;0,066666667;0,8;0,477777778
0,3;0;0,3;0,2;0,366666667;0,133333333;0,233333333
0,6;0;0,9;0,5;0,566666667;1,233333333;0,766666667
0;0;0,5;0,166666667;0,233333333;0,566666667;0,322222222
0;0;0;0;0,133333333;0,166666667;0,1
1;0;0;0,333333333;0,533333333;0,3;0,388888889
0,3;0,1;0,3;0,233333333;0,733333333;1,033333333;0,666666666
1,3;0;0;0,433333333;0,466666667;0,366666667;0,422222222
0,6;0;0,2;0,266666667;0,266666667;0,566666667;0,366666667
0,3;0;0,8;0,366666667;0,666666667;0,6;0,544444445
0;0,1;1,8;0,633333333;0,766666667;1,066666667;0,822222222
0;0,5;0,9;0,466666667;0,333333333;1,333333333;0,711111111
0;0;1,5;0,5;0,566666667;0,7;0,588888889
0;0,2;0,9;0,366666667;0,333333333;1,433333333;0,711111111
0;1,2;0,3;0,5;0,3;1,533333333;0,777777778
0;0;0,4;0,133333333;0,466666667;0,966666667;0,522222222
0;0,4;0,4;0,266666667;1,166666667;0,933333333;0,788888889
0;0,2;1,3;0,5;0,5;1,7;0,9
