2019-2022;2020;2021;Mean;Mean;Mean;DE
8,2;3,6;1;4,266666667;3,2;5,266666667;4,244444445
4,6;2;2,2;2,933333333;2,833333333;4,233333333;3,333333333
1,9;3,8;3,4;3,033333333;3,4;4,3;3,577777778
1,2;6,2;4,4;3,933333333;5,4;4,9;4,744444444
2,2;8,3;2,4;4,3;5,733333333;6,566666667;5,533333333
3,1;4,4;0,7;2,733333333;4,433333333;4,766666667;3,977777778
5,5;3,4;0,5;3,133333333;3,7;4,5;3,777777778
4,9;2,1;1;2,666666667;4,033333333;4,8;3,833333333
5,2;3,2;0;2,8;4,333333333;4;3,711111111
6,1;6,7;0,1;4,3;4,3;3,833333333;4,144444444
6;2,2;0;2,733333333;4,033333333;4,066666667;3,611111111
4,9;3,6;0;2,833333333;2,666666667;3,8;3,1
5,3;0;0,3;1,866666667;2,5;4,433333333;2,933333333
5,8;0;0,4;2,066666667;3,5;4,766666667;3,444444445
5,4;0,3;1;2,233333333;1,033333333;3,733333333;2,333333333
1;0,1;1,8;0,966666667;1,466666667;1,666666667;1,366666667
1,8;0,6;2,2;1,533333333;2,266666667;1,6;1,8
2,9;1,6;2,4;2,3;2,1;2,633333333;2,344444444
0,3;4;2,6;2,3;2,7;2,233333333;2,411111111
0;4,5;2,4;2,3;1,866666667;1,6;1,922222222
0;0,8;2,5;1,1;1,566666667;1,433333333;1,366666667
0;0,4;2,8;1,066666667;2,033333333;2,2;1,766666667
0;1,1;3,9;1,666666667;2,666666667;2,4;2,244444445
0,5;2,5;3,9;2,3;3,033333333;3,3;2,877777778
1,3;2,9;2,5;2,233333333;1,966666667;2,266666667;2,155555556
2,4;2,4;2,5;2,433333333;2,666666667;2,2;2,433333333
3;3,3;2,9;3,066666667;2,066666667;2,533333333;2,555555556
2,7;3,7;3,6;3,333333333;3,066666667;1,933333333;2,777777778
2,9;3,6;2,4;2,966666667;4,4;3,8;3,722222222
4,2;4;1,8;3,333333333;3,5;3,033333333;3,288888889
1;4,1;0,4;1,833333333;2,766666667;2,266666667;2,288888889
0,1;2,8;1,2;1,366666667;1,2;0,333333333;0,966666667
0;0,8;0,5;0,433333333;1,3;0,333333333;0,688888889
0,1;1,5;0;0,533333333;1,6;0,533333333;0,888888889
1,1;1,8;0;0,966666667;2,133333333;1,133333333;1,411111111
0,6;2,1;0;0,9;2,766666667;2,033333333;1,9
0;2,8;1,2;1,333333333;2,233333333;2,633333333;2,066666666
0,7;0,8;1,6;1,033333333;2,033333333;1,766666667;1,611111111
0,5;1,8;2,4;1,566666667;1,633333333;1,566666667;1,588888889
0,3;0;3,6;1,3;1,333333333;1,533333333;1,388888889
1,8;0;1,8;1,2;0,866666667;0,866666667;0,977777778
0,6;0;0,1;0,233333333;0,333333333;0,366666667;0,311111111
2,4;0;0,5;0,966666667;0,433333333;0,3;0,566666667
1,4;0;0;0,466666667;0,133333333;0,3;0,3
2,4;0,1;0,5;1;0,733333333;0,6;0,777777778
0;0,3;1,6;0,633333333;0,3;0,333333333;0,422222222
0;0,6;2,3;0,966666667;0,966666667;0,9;0,944444445
0;0,7;0;0,233333333;0,166666667;0,733333333;0,377777778
0;0,1;0;0,033333333;0,1;0,233333333;0,122222222
0;0;0;0;0;0,033333333;0,011111111
0;0;0;0;0,033333333;0,233333333;0,088888889
0,1;0;0;0,033333333;0,066666667;0,066666667;0,055555556
0;0,2;0;0,066666667;0,333333333;0;0,133333333
0;0,5;0;0,166666667;0;0;0,055555556
0,4;0;0;0,133333333;0,133333333;0;0,088888889
1,9;0;0;0,633333333;0,466666667;0,4;0,5
1,6;0;0;0,533333333;1,366666667;1,2;1,033333333
1,7;0;0;0,566666667;1;1,033333333;0,866666667
0,9;0;0;0,3;0,1;0,466666667;0,288888889
0,1;0;0;0,033333333;0;0;0,011111111
0,8;0;0;0,266666667;0,033333333;0,133333333;0,144444444
1;0;0;0,333333333;0;0,3;0,211111111
0;0;0;0;0,266666667;0,033333333;0,1
0,3;0;1;0,433333333;0,366666667;0,666666667;0,488888889
0,1;0;0;0,033333333;0,033333333;0,166666667;0,077777778
0;0,2;0;0,066666667;0,733333333;0,1;0,3
