2019-2022;2020;2021;Mean;Mean;NE
0,5;1,3;2,8;1,533333333;1,233333333;1,383333333
0,6;0,6;2,6;1,266666667;1,233333333;1,25
0,7;1,1;1,9;1,233333333;1;1,116666667
1,1;1,4;2,5;1,666666667;2,566666667;2,116666667
1;3;2;2;2,966666667;2,483333334
4,5;2,4;2,3;3,066666667;2,666666667;2,866666667
4,1;3,7;2,5;3,433333333;3,9;3,666666667
4,7;3,7;2,7;3,7;3,9;3,8
6;2,4;2,8;3,733333333;3,066666667;3,4
6,2;2,3;4,5;4,333333333;3,1;3,716666667
5,9;2,4;4,5;4,266666667;3,166666667;3,716666667
1,9;4;4,7;3,533333333;3,6;3,566666667
3,6;6,1;3,5;4,4;3,433333333;3,916666667
2,9;6,1;3,9;4,3;4,233333333;4,266666667
0,9;5,3;4,4;3,533333333;3,466666667;3,5
3,1;5;1,1;3,066666667;2,466666667;2,766666667
1,4;5,5;2,8;3,233333333;3,3;3,266666667
1,7;5,5;4,4;3,866666667;4,4;4,133333334
0,5;6,8;3,7;3,666666667;4,333333333;4
2,4;6,2;4;4,2;4,166666667;4,183333334
2,5;5,5;0,6;2,866666667;2,766666667;2,816666667
3,2;6,4;0,3;3,3;2,966666667;3,133333334
3,7;4,4;4,9;4,333333333;3,733333333;4,033333333
4,3;1,2;5,6;3,7;3,366666667;3,533333334
3,4;2;7,2;4,2;4,1;4,15
3,9;3,7;7,4;5;3,433333333;4,216666667
5;2,1;5,3;4,133333333;2,733333333;3,433333333
1,8;3,5;3,3;2,866666667;2,166666667;2,516666667
2;5,4;1,8;3,066666667;4,3;3,683333334
0,2;5,5;3,9;3,2;5,366666667;4,283333334
5,4;5,1;3,2;4,566666667;5,466666667;5,016666667
7,3;4,2;3,5;5;6;5,5
8,4;0,5;4,6;4,5;5,366666667;4,933333334
9,9;2;5,7;5,866666667;4,833333333;5,35
11;2,5;8,6;7,366666667;4,133333333;5,75
8,3;0,8;10;6,366666667;5,233333333;5,8
2,7;5,9;9;5,866666667;6,366666667;6,116666667
5,1;7,6;7,4;6,7;7,1;6,9
5,2;8;4,9;6,033333333;6,566666667;6,3
5,9;6,8;5,3;6;6,366666667;6,183333334
7,1;8,3;7,5;7,633333333;8,1;7,866666667
7,9;7;7,3;7,4;7,333333333;7,366666667
9,9;2,9;5,5;6,1;7,366666667;6,733333334
8,6;3,1;5,1;5,6;6,066666667;5,833333334
12,2;4,1;7,4;7,9;6,8;7,35
10,2;5,4;4,2;6,6;5,866666667;6,233333334
10,3;6,2;5,6;7,366666667;6,833333333;7,1
9,1;4,1;8,4;7,2;7,6;7,4
9,8;3,2;10,4;7,8;7,966666667;7,883333334
10,9;4,9;6,8;7,533333333;7,5;7,516666667
11,1;3,2;5,2;6,5;6,166666667;6,333333334
10,7;2,9;3,1;5,566666667;5,633333333;5,6
8,8;6,6;4,8;6,733333333;8,4;7,566666667
