2019-2022;2020;2021;Mean;Mean;BEL
3,5;3,2;4,9;3,866666667;4,1;3,983333334
2,5;1,1;7;3,533333333;3,8;3,666666667
2,4;1;6,1;3,166666667;3,333333333;3,25
1,5;3,1;7,6;4,066666667;3,266666667;3,666666667
1,8;1,5;4,7;2,666666667;3,066666667;2,866666667
0,2;3;3,7;2,3;2,5;2,4
5,2;4,6;2,3;4,033333333;4,466666667;4,25
7,4;5,1;4,4;5,633333333;5,633333333;5,633333333
7,4;4,2;3;4,866666667;5;4,933333334
10,3;4,3;3,6;6,066666667;6,1;6,083333334
11,4;1,1;4,1;5,533333333;5,5;5,516666667
6,6;1,8;6;4,8;4,633333333;4,716666667
1,8;1,7;8,2;3,9;4,066666667;3,983333334
4,7;0,8;10;5,166666667;5,133333333;5,15
4,7;5,8;8,3;6,266666667;6,8;6,533333334
6,1;8,6;7,3;7,333333333;7,666666667;7,5
6,2;10,9;7,6;8,233333333;8,3;8,266666667
7,8;10;5,4;7,733333333;7,833333333;7,783333333
9,6;8,7;8,6;8,966666667;8,166666667;8,566666667
9,5;6,6;9,2;8,433333333;7,5;7,966666667
12,3;5,4;10,5;9,4;8,266666667;8,833333334
9,7;4,9;7;7,2;7,633333333;7,416666667
10;5;9,1;8,033333333;7,933333333;7,983333333
8,7;4,3;4,4;5,8;6,333333333;6,066666667
10,2;5,1;6,3;7,2;7,2;7,2
11,4;2,4;8,8;7,533333333;7,966666667;7,75
11,5;2,1;10;7,866666667;8,233333333;8,05
11,6;5;7,6;8,066666667;8,4;8,233333334
9,2;3,4;7,1;6,566666667;7,266666667;6,916666667
10,5;2,4;4;5,633333333;6,466666667;6,05
14,6;6,2;6;8,933333333;9,033333333;8,983333333
15;9,4;8;10,8;11,3;11,05
9,2;7,1;10,7;9;9,266666667;9,133333334
9,4;6,1;11,4;8,966666667;9,266666667;9,116666667
10,8;7,4;9,3;9,166666667;8,6;8,883333334
8,5;7;9,6;8,366666667;8,5;8,433333334
5,1;8,3;11,1;8,166666667;8,266666667;8,216666667
4,8;6,6;13,1;8,166666667;8,466666667;8,316666667
5,7;8,1;12,2;8,666666667;9,066666667;8,866666667
8,2;10,1;11,6;9,966666667;10,66666667;10,31666667
12,7;12,9;7,8;11,13333333;11,2;11,16666667
13,1;13,2;7,4;11,23333333;11,8;11,51666667
10,8;6,9;12,2;9,966666667;11,03333333;10,5
11,8;8,7;12,4;10,96666667;11,33333333;11,15
14,5;9,5;10,4;11,46666667;11,33333333;11,4
14,8;9,8;11,4;12;12,2;12,1
10,1;13,5;13;12,2;12;12,1
5,9;14,6;11;10,5;11,1;10,8
5,7;13,6;10;9,766666667;10,16666667;9,966666669
8,4;14;11,5;11,3;11,8;11,55
10;13,6;12,7;12,1;12,73333333;12,41666667
9,1;13,6;10,2;10,96666667;11,13333333;11,05
10,7;12;7,1;9,933333333;10;9,966666667
9,5;7;6,1;7,533333333;8,033333333;7,783333333
9;8,2;7,2;8,133333333;8,533333333;8,333333333
7,6;5,4;6,1;6,366666667;6,966666667;6,666666667
8,1;6,4;7,5;7,333333333;7,4;7,366666667
4,8;8,1;9,7;7,533333333;7,2;7,366666667
8,6;6,1;9,1;7,933333333;7,8;7,866666667
4,2;6,4;9,4;6,666666667;6,7;6,683333334
4,1;6,3;10,1;6,833333333;7,2;7,016666667
7,5;6,2;16,7;10,13333333;10,43333333;10,28333333
7,2;6,9;18,3;10,8;10,6;10,7
7,5;2,5;13,3;7,766666667;7,7;7,733333334
6,3;3,5;7;5,6;6,033333333;5,816666667
8,1;8,9;12,9;9,966666667;10,26666667;10,11666667
12,1;10,9;13,1;12,03333333;12;12,01666667
9,1;11,1;7,7;9,3;9,4;9,35
12,5;9,8;5,9;9,4;9,566666667;9,483333334
14,7;12,9;5,4;11;10,63333333;10,81666667
9,9;12;1,6;7,833333333;8,266666667;8,05
11,6;11,6;2,7;;;
;12,5;;;;
