"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"11.01.2016 13:00 - 11.01.2016 14:00","n/e","1","n/e","3201"
"11.01.2016 14:00 - 11.01.2016 15:00","n/e","1","n/e","3201"
"11.01.2016 15:00 - 11.01.2016 16:00","n/e","1","n/e","3201"
"11.01.2016 16:00 - 11.01.2016 17:00","n/e","1","n/e","3201"
"11.01.2016 17:00 - 11.01.2016 18:00","n/e","1","n/e","3201"
"11.01.2016 18:00 - 11.01.2016 19:00","n/e","1","n/e","3201"
"11.01.2016 19:00 - 11.01.2016 20:00","n/e","1","n/e","3201"
"11.01.2016 20:00 - 11.01.2016 21:00","n/e","1","n/e","3201"
"11.01.2016 21:00 - 11.01.2016 22:00","n/e","1","n/e","3201"
"11.01.2016 22:00 - 11.01.2016 23:00","n/e","1","n/e","3201"
"11.01.2016 23:00 - 12.01.2016 00:00","n/e","1","n/e","3201"
"12.01.2016 00:00 - 12.01.2016 01:00","n/e","0","n/e","3030"
"12.01.2016 01:00 - 12.01.2016 02:00","n/e","9","n/e","3010"
"12.01.2016 02:00 - 12.01.2016 03:00","n/e","0","n/e","3082"
"12.01.2016 03:00 - 12.01.2016 04:00","n/e","0","n/e","3200"
"12.01.2016 04:00 - 12.01.2016 05:00","n/e","1","n/e","3200"
"12.01.2016 05:00 - 12.01.2016 06:00","n/e","0","n/e","3118"
"12.01.2016 06:00 - 12.01.2016 07:00","n/e","0","n/e","3200"
"12.01.2016 07:00 - 12.01.2016 08:00","n/e","0","n/e","3200"
"12.01.2016 08:00 - 12.01.2016 09:00","n/e","0","n/e","3200"
"12.01.2016 09:00 - 12.01.2016 10:00","n/e","0","n/e","3200"
"12.01.2016 10:00 - 12.01.2016 11:00","n/e","0","n/e","3200"
"12.01.2016 11:00 - 12.01.2016 12:00","n/e","0","n/e","3200"
"12.01.2016 12:00 - 12.01.2016 13:00","n/e","0","n/e","3200"
"12.01.2016 13:00 - 12.01.2016 14:00","n/e","0","n/e","3200"
"12.01.2016 14:00 - 12.01.2016 15:00","n/e","0","n/e","3200"
"12.01.2016 15:00 - 12.01.2016 16:00","n/e","0","n/e","3200"
"12.01.2016 16:00 - 12.01.2016 17:00","n/e","0","n/e","3200"
