,0
1116,739.0
1117,431.25
1118,186.25
1119,358.25
1120,462.5
1121,867.5
1122,2225.75
1123,2145.0
1124,998.0
1125,597.0
1126,756.5
1127,760.5
1128,885.5
1129,716.0
1130,1422.75
1131,1226.25
1132,930.75
1133,581.25
1134,767.75
1135,848.75
1136,757.75
1137,727.75
1138,867.5
1139,570.75
1140,672.25
1141,657.5
1142,438.5
1143,351.5
1144,824.25
1145,1239.0
1146,1904.75
1147,1880.5
1148,1167.75
1149,1104.0
1150,1064.25
1151,1274.0
1152,539.0
1153,595.25
1154,559.25
1155,623.0
1156,545.75
1157,480.75
1158,656.0
1159,1580.75
1160,1614.0
1161,1601.75
1162,1168.5
1163,1030.0
1164,924.25
1165,954.25
1166,892.75
1167,786.5
1168,1221.0
1169,1721.0
1170,1830.5
1171,2920.25
1172,1545.5
1173,774.5
1174,967.25
1175,1295.75
1176,727.25
1177,479.25
1178,569.75
1179,502.25
1180,432.0
1181,540.25
1182,584.25
1183,1399.0
1184,1432.75
1185,1310.75
1186,1331.5
1187,1714.25
1188,1357.25
1189,1351.0
1190,780.75
1191,763.75
1192,924.75
1193,2058.75
1194,1795.25
1195,2063.0
1196,1323.5
1197,943.25
1198,904.0
1199,788.0
1200,558.0
1201,608.75
1202,1099.5
1203,929.0
1204,941.0
1205,623.25
1206,1237.5
1207,1098.5
1208,1416.25
1209,1292.25
1210,937.5
1211,692.25
1212,731.25
1213,411.25
1214,366.0
1215,435.75
1216,509.0
1217,708.25
1218,2138.0
1219,1669.25
1220,723.25
1221,476.5
1222,287.25
1223,298.5
1224,440.75
1225,275.75
1226,220.25
1227,137.0
1228,138.75
1229,263.25
1230,442.25
1231,1094.0
1232,1092.5
1233,1042.25
1234,1054.75
1235,844.75
1236,496.75
1237,477.75
1238,515.0
1239,614.25
1240,716.5
1241,1731.25
1242,2898.25
1243,3374.0
1244,1839.5
1245,729.25
1246,992.75
1247,849.25
1248,430.0
1249,554.25
1250,458.75
1251,462.25
1252,453.75
1253,215.25
1254,581.5
1255,1164.5
1256,1247.25
1257,1025.0
1258,978.75
1259,723.75
1260,479.0
1261,441.25
1262,295.75
1263,276.25
1264,612.75
1265,1826.75
1266,2140.5
1267,1695.5
1268,928.75
1269,319.0
1270,679.0
1271,893.75
1272,402.25
1273,406.5
1274,349.0
1275,403.5
1276,336.0
1277,534.0
1278,641.5
1279,929.25
1280,1161.0
1281,1206.25
1282,1010.5
1283,908.25
1284,597.5
1285,609.75
1286,628.25
1287,1051.25
1288,670.75
1289,1223.75
1290,2606.25
1291,1919.25
1292,542.5
1293,199.5
1294,177.5
1295,316.5
1296,640.5
1297,583.5
1298,615.75
1299,564.25
1300,589.5
1301,514.5
1302,473.5
1303,687.5
1304,941.25
1305,965.75
1306,1232.0
1307,1003.0
1308,1016.25
1309,887.0
1310,850.0
1311,850.75
1312,893.25
1313,1331.0
1314,2362.25
1315,3226.25
1316,1491.5
1317,880.25
1318,902.75
1319,881.25
1320,625.25
1321,681.5
1322,756.5
1323,1106.0
1324,1024.25
1325,675.5
1326,1077.0
1327,1865.0
1328,1759.75
1329,1097.75
1330,1171.25
1331,671.5
1332,685.5
1333,725.25
1334,601.25
1335,671.5
1336,972.0
1337,1833.75
1338,3609.75
1339,3256.0
1340,2140.25
1341,1240.0
1342,663.0
1343,722.25
1344,654.0
1345,784.75
1346,712.0
1347,836.5
1348,723.5
1349,513.25
1350,1949.5
1351,1707.5
1352,2008.0
1353,2170.75
1354,1445.5
1355,1179.25
1356,1008.0
1357,795.5
1358,1009.5
1359,956.25
1360,1294.5
1361,2174.75
1362,4025.75
1363,2945.0
1364,2102.25
1365,1328.0
1366,1203.75
1367,1410.75
1368,584.75
1369,592.75
1370,471.25
1371,453.5
1372,469.0
1373,481.25
1374,1019.75
1375,1473.25
1376,1828.0
1377,1181.5
1378,1015.5
1379,889.25
1380,1298.25
1381,1154.75
1382,941.25
1383,785.5
1384,1033.0
1385,1677.5
1386,3375.5
1387,2595.75
1388,1017.5
1389,672.0
1390,506.75
1391,670.75
1392,394.0
1393,300.75
1394,363.75
1395,346.0
1396,420.75
1397,533.0
1398,872.5
